TimeStamp,AF3_THETA,AF3_ALPHA,AF3_LOW_BETA,AF3_HIGH_BETA,AF3_GAMMA,F7_THETA,F7_ALPHA,F7_LOW_BETA,F7_HIGH_BETA,F7_GAMMA,F3_THETA,F3_ALPHA,F3_LOW_BETA,F3_HIGH_BETA,F3_GAMMA,FC5_THETA,FC5_ALPHA,FC5_LOW_BETA,FC5_HIGH_BETA,FC5_GAMMA,T7_THETA,T7_ALPHA,T7_LOW_BETA,T7_HIGH_BETA,T7_GAMMA,P7_THETA,P7_ALPHA,P7_LOW_BETA,P7_HIGH_BETA,P7_GAMMA,O1_THETA,O1_ALPHA,O1_LOW_BETA,O1_HIGH_BETA,O1_GAMMA,O2_THETA,O2_ALPHA,O2_LOW_BETA,O2_HIGH_BETA,O2_GAMMA,P8_THETA,P8_ALPHA,P8_LOW_BETA,P8_HIGH_BETA,P8_GAMMA,T8_THETA,T8_ALPHA,T8_LOW_BETA,T8_HIGH_BETA,T8_GAMMA,FC6_THETA,FC6_ALPHA,FC6_LOW_BETA,FC6_HIGH_BETA,FC6_GAMMA,F4_THETA,F4_ALPHA,F4_LOW_BETA,F4_HIGH_BETA,F4_GAMMA,F8_THETA,F8_ALPHA,F8_LOW_BETA,F8_HIGH_BETA,F8_GAMMA,AF4_THETA,AF4_ALPHA,AF4_LOW_BETA,AF4_HIGH_BETA,AF4_GAMMA,CQ_AF3,CQ_F7,CQ_F3,CQ_FC5,CQ_T7,CQ_P7,CQ_O1,CQ_O2,CQ_P8,CQ_T8,CQ_FC6,CQ_F4,CQ_F8,CQ_AF4
1531392406.567593,1.780434,0.487632,0.478559,0.253209,0.223641,9.083786,2.538149,1.852390,1.662559,0.623088,3.748200,0.756600,0.869031,0.548938,0.365508,7.600263,1.885289,1.421141,0.817788,0.447761,6.111499,3.177168,1.447276,0.704865,0.588579,24.399010,7.306248,2.727092,0.977533,0.417512,6.041114,2.530040,2.065483,0.573935,0.425637,0.449770,0.449025,0.259707,0.124231,0.102411,2.380853,0.988174,0.728360,0.333966,0.152537,10.176794,3.245317,1.520806,1.511744,0.541629,4.667568,1.757888,1.058817,0.743528,0.571431,5.503494,1.134258,1.238876,0.681892,0.535266,6.864401,2.002897,1.404819,1.152336,0.693356,1.358056,0.370391,0.309245,0.172704,0.136625,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1531392406.695279,2.027739,0.498597,0.646531,0.261412,0.232996,10.211278,3.108174,2.677967,2.007579,0.643316,4.420668,0.849517,1.238458,0.595783,0.354313,8.881770,2.563717,2.162083,0.868655,0.450621,7.185252,4.205473,2.019624,0.687853,0.588428,51.271081,14.159955,5.176622,1.706249,0.597669,7.253589,2.713078,2.797569,0.593488,0.408155,0.535854,0.405568,0.319925,0.121092,0.089161,2.973940,1.000158,1.049525,0.354414,0.156174,11.428203,3.456370,2.133531,1.484933,0.472753,6.110874,1.752473,1.517741,0.794110,0.574386,6.665279,1.145876,1.742457,0.705504,0.532708,8.102914,2.183765,1.889110,1.073328,0.677211,1.748436,0.507930,0.460791,0.183143,0.132956,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1531392406.822964,2.108490,0.524037,0.880054,0.287650,0.232678,10.996324,3.824645,3.730013,2.435555,0.668500,4.800645,0.968903,1.708507,0.664984,0.325044,9.556204,3.255066,3.060813,0.974037,0.457534,8.094673,5.271117,2.655028,0.698912,0.583448,85.322282,22.469178,8.107529,2.647944,0.816993,7.856107,2.691244,3.396897,0.613562,0.392316,0.569530,0.333298,0.359926,0.118418,0.077807,3.493530,0.948312,1.367026,0.381114,0.167774,11.671978,3.516172,3.022441,1.497894,0.435846,7.579350,1.715437,2.141961,0.899714,0.565475,7.441850,1.205178,2.448684,0.766438,0.502662,8.786231,2.321431,2.620807,1.063022,0.640156,2.107926,0.668687,0.670808,0.212967,0.123524,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1531392406.950250,2.007526,0.583498,1.113628,0.318544,0.222920,11.018084,4.585984,4.715089,2.815690,0.694801,4.801588,1.122464,2.150840,0.735878,0.287092,9.505084,3.793007,3.882853,1.094557,0.472177,8.529302,6.104701,3.177896,0.724713,0.586087,117.977268,29.969087,10.718851,3.552939,1.015226,7.741397,2.501246,3.693490,0.620368,0.381385,0.537653,0.255123,0.366608,0.114169,0.069586,3.783661,0.845373,1.583381,0.403219,0.183577,10.897403,3.439375,3.924060,1.537442,0.434435,8.796903,1.718690,2.755644,1.028761,0.546269,7.633576,1.334835,3.162663,0.848741,0.455355,8.716232,2.410912,3.411120,1.134763,0.589803,2.342330,0.815535,0.882692,0.257821,0.110795,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1531392407.076536,1.759040,0.690743,1.278193,0.338881,0.207336,10.411392,5.273788,5.404202,3.013801,0.715824,4.443860,1.321075,2.444720,0.782477,0.252560,8.828220,4.064051,4.406306,1.187432,0.497585,8.371658,6.470888,3.435540,0.753756,0.605164,138.341236,34.220204,12.165073,4.124932,1.125949,7.007651,2.254224,3.602629,0.607173,0.375176,0.450890,0.196571,0.337197,0.105851,0.065568,3.797363,0.725570,1.629643,0.406457,0.198561,9.392524,3.256398,4.554060,1.564857,0.460817,9.445595,1.813228,3.177454,1.135212,0.520952,7.230897,1.547085,3.680787,0.921223,0.405646,7.966244,2.446550,4.039175,1.265591,0.536823,2.388274,0.914045,1.038511,0.306739,0.097630,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1531392407.202822,1.446995,0.853982,1.325440,0.340728,0.190656,9.041188,5.822985,5.675112,2.957561,0.724091,3.841393,1.573495,2.516161,0.787236,0.231469,7.702381,4.072353,4.500959,1.230706,0.534425,7.582979,6.299525,3.363628,0.797271,0.639960,139.608120,33.710753,11.948032,4.160073,1.106797,5.959534,2.115156,3.171723,0.574753,0.370407,0.338970,0.178667,0.281838,0.092370,0.066399,3.500772,0.636034,1.500544,0.381358,0.208249,7.662848,3.019782,4.721828,1.538999,0.499412,9.302281,1.987409,3.290799,1.179513,0.494419,6.371608,1.841874,3.869612,0.955595,0.367087,6.808741,2.454578,4.326860,1.411098,0.492437,2.229033,0.945011,1.095740,0.345900,0.086752,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1531392407.327706,1.199173,1.079623,1.249668,0.330517,0.176182,7.480338,6.228316,5.543712,2.678882,0.714283,3.185805,1.871966,2.366099,0.752274,0.227190,6.521885,3.933062,4.186990,1.235034,0.577012,6.450282,5.701834,3.010022,0.885013,0.681344,120.889023,28.612064,10.158192,3.646468,0.960027,4.945855,2.196368,2.559819,0.535304,0.362517,0.235091,0.208003,0.218128,0.075830,0.071756,3.002834,0.601191,1.253437,0.329074,0.209786,6.175611,2.754827,4.428882,1.446768,0.532511,8.463168,2.182588,3.100913,1.151289,0.468644,5.364581,2.196753,3.717652,0.943128,0.345334,5.699971,2.460736,4.230787,1.530745,0.462524,1.915982,0.914212,1.044159,0.365693,0.079903,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1531392407.452189,1.046526,1.369126,1.078067,0.318561,0.164984,5.776192,6.534696,5.100004,2.279261,0.682516,2.580309,2.192081,2.052790,0.690105,0.234951,5.392413,3.842736,3.607537,1.217669,0.612181,5.202010,4.955168,2.511725,1.032742,0.714733,89.173511,20.685194,7.415587,2.768906,0.732029,4.178500,2.513369,1.956519,0.502881,0.347695,0.163090,0.272329,0.162946,0.061170,0.080082,2.372275,0.615021,0.980170,0.263781,0.202343,5.042217,2.510002,3.821367,1.305040,0.546403,7.070821,2.354485,2.708230,1.064072,0.441943,4.374965,2.603225,3.305186,0.886593,0.336179,4.789435,2.552453,3.839245,1.589415,0.444873,1.529457,0.856200,0.903917,0.361030,0.077177,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1531392407.576673,1.006160,1.701838,0.862211,0.312624,0.156493,4.301028,6.786186,4.487568,1.891410,0.632173,2.117415,2.495237,1.672744,0.619132,0.245609,4.477616,3.989412,2.980227,1.199278,0.627078,4.119895,4.378968,2.033834,1.231134,0.728005,54.546764,12.443129,4.571458,1.814133,0.492034,3.845185,2.983609,1.514231,0.485399,0.325257,0.129645,0.345893,0.126201,0.052808,0.089550,1.773991,0.655379,0.763995,0.204624,0.186970,4.332146,2.362285,3.109912,1.152802,0.537855,5.467136,2.492470,2.246424,0.947463,0.411769,3.579255,3.063354,2.767401,0.802127,0.330505,4.168396,2.854314,3.324363,1.570290,0.432685,1.157490,0.824829,0.719588,0.333520,0.077357,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1531392407.701157,1.070343,2.030379,0.650090,0.312339,0.149582,3.336166,6.963497,3.818348,1.614481,0.577954,1.808149,2.731472,1.307711,0.550967,0.251743,3.800661,4.433174,2.469390,1.183041,0.619607,3.534122,4.183314,1.702646,1.434403,0.717976,26.709231,6.029295,2.347612,1.044140,0.301083,3.891220,3.503474,1.302761,0.483324,0.298701,0.125425,0.400003,0.108379,0.052394,0.098569,1.288382,0.708247,0.640550,0.163637,0.166237,4.047049,2.361659,2.462873,1.020400,0.514117,4.060812,2.591499,1.810778,0.826189,0.378648,3.046878,3.548142,2.219165,0.705366,0.321423,3.883079,3.381047,2.827376,1.471194,0.420558,0.872065,0.861180,0.537364,0.288935,0.078873,4,4,4,4,4,4,4,4,4,4,4,4,4,4
