TimeStamp,AF3_THETA,AF3_ALPHA,AF3_LOW_BETA,AF3_HIGH_BETA,AF3_GAMMA,F7_THETA,F7_ALPHA,F7_LOW_BETA,F7_HIGH_BETA,F7_GAMMA,F3_THETA,F3_ALPHA,F3_LOW_BETA,F3_HIGH_BETA,F3_GAMMA,FC5_THETA,FC5_ALPHA,FC5_LOW_BETA,FC5_HIGH_BETA,FC5_GAMMA,T7_THETA,T7_ALPHA,T7_LOW_BETA,T7_HIGH_BETA,T7_GAMMA,P7_THETA,P7_ALPHA,P7_LOW_BETA,P7_HIGH_BETA,P7_GAMMA,O1_THETA,O1_ALPHA,O1_LOW_BETA,O1_HIGH_BETA,O1_GAMMA,O2_THETA,O2_ALPHA,O2_LOW_BETA,O2_HIGH_BETA,O2_GAMMA,P8_THETA,P8_ALPHA,P8_LOW_BETA,P8_HIGH_BETA,P8_GAMMA,T8_THETA,T8_ALPHA,T8_LOW_BETA,T8_HIGH_BETA,T8_GAMMA,FC6_THETA,FC6_ALPHA,FC6_LOW_BETA,FC6_HIGH_BETA,FC6_GAMMA,F4_THETA,F4_ALPHA,F4_LOW_BETA,F4_HIGH_BETA,F4_GAMMA,F8_THETA,F8_ALPHA,F8_LOW_BETA,F8_HIGH_BETA,F8_GAMMA,AF4_THETA,AF4_ALPHA,AF4_LOW_BETA,AF4_HIGH_BETA,AF4_GAMMA,CQ_AF3,CQ_F7,CQ_F3,CQ_FC5,CQ_T7,CQ_P7,CQ_O1,CQ_O2,CQ_P8,CQ_T8,CQ_FC6,CQ_F4,CQ_F8,CQ_AF4
1531391528.765351,0.146780,0.278605,0.350603,0.133230,0.116037,1.681596,3.163884,3.389464,0.962210,0.601165,1.112464,1.287501,1.384983,0.528856,0.485921,1.221678,1.707583,1.463224,0.745709,0.540184,1.697342,1.485467,0.750975,0.858619,0.438233,0.551502,0.784589,0.299622,0.346572,0.131557,1.327303,6.505779,1.602568,0.881355,0.359538,0.060630,0.580899,0.079654,0.054814,0.058917,0.808491,6.640440,1.229169,0.374352,0.247835,2.174750,5.080549,2.026530,1.087272,0.566379,0.983503,1.364133,1.128418,0.531932,0.526356,1.282144,2.063649,1.615972,0.713937,0.579606,2.033600,3.158129,2.058653,0.653129,0.909844,0.180856,0.304662,0.350057,0.137187,0.128204,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1531391528.893037,0.151714,0.222848,0.319273,0.155098,0.113787,1.368485,2.745645,3.141204,1.083877,0.594809,1.145241,1.076018,1.219477,0.560379,0.473159,0.976393,1.531320,1.434804,0.824251,0.549859,1.581859,1.447566,0.961887,0.897626,0.429274,0.530215,0.564755,0.261429,0.332747,0.134405,1.084663,4.761543,1.351541,0.896560,0.359438,0.048120,0.510844,0.087151,0.058784,0.056204,0.713756,5.469984,1.384368,0.396767,0.243622,1.851384,4.467062,2.237316,1.134667,0.551117,0.956805,1.205050,1.121315,0.547326,0.498653,1.321210,1.626275,1.405560,0.758475,0.588889,1.924247,2.485023,1.880013,0.658725,0.874446,0.177714,0.224135,0.310686,0.138723,0.133473,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1531391529.020724,0.164378,0.189126,0.291588,0.171870,0.109478,1.404134,2.620844,2.883505,1.169155,0.579723,1.116517,0.993006,1.085556,0.578955,0.445014,0.952395,1.593110,1.455972,0.892529,0.552823,1.748076,1.663788,1.169113,0.942150,0.407405,0.584052,0.428635,0.231613,0.314466,0.130734,1.094008,3.431728,1.150560,0.884946,0.339405,0.038458,0.427524,0.089144,0.064534,0.052581,0.635507,4.214856,1.390252,0.417256,0.226485,1.676710,4.273641,2.336828,1.171829,0.515007,0.929573,1.206238,1.116067,0.562092,0.444852,1.278065,1.417060,1.261099,0.786456,0.573039,1.924386,2.285852,1.774097,0.666449,0.809979,0.171864,0.193387,0.283438,0.143297,0.133678,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1531391529.148411,0.174255,0.174341,0.261343,0.180390,0.104952,1.694735,2.711176,2.637643,1.189708,0.559597,1.024942,1.018592,0.978316,0.577370,0.410802,1.075043,1.793324,1.504307,0.927834,0.545130,2.017606,1.978570,1.347551,0.972422,0.374632,0.637054,0.363942,0.217869,0.291527,0.122230,1.246536,2.620690,1.038635,0.840247,0.305618,0.032928,0.348623,0.083861,0.069737,0.048903,0.558652,3.122117,1.247282,0.426316,0.200431,1.564682,4.288834,2.293918,1.173177,0.462790,0.889326,1.280788,1.093076,0.561920,0.375465,1.160285,1.393703,1.164591,0.785566,0.536299,1.973002,2.366790,1.700048,0.663609,0.730962,0.160510,0.199454,0.267622,0.146670,0.133516,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1531391529.275698,0.182393,0.171540,0.229801,0.182270,0.101885,2.120009,2.860654,2.460540,1.147531,0.543560,0.922811,1.091730,0.895920,0.563472,0.381217,1.307732,1.989209,1.564318,0.926381,0.528761,2.292383,2.208185,1.485337,0.971026,0.339480,0.644382,0.339750,0.216241,0.263000,0.112299,1.422355,2.171662,1.008376,0.760337,0.268828,0.032165,0.283081,0.073272,0.071928,0.045933,0.492461,2.310066,1.005362,0.417366,0.173197,1.499716,4.246361,2.126982,1.123257,0.407003,0.857623,1.336747,1.051026,0.544097,0.307742,1.018854,1.460567,1.108222,0.759221,0.493287,2.071805,2.472084,1.641132,0.652052,0.660164,0.151799,0.221190,0.260753,0.146719,0.138729,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1531391529.401985,0.202565,0.172396,0.201013,0.182659,0.101042,2.593538,2.924836,2.375888,1.067074,0.542259,0.880779,1.137231,0.826055,0.553481,0.363827,1.650499,2.063767,1.610579,0.900414,0.511684,2.536749,2.247001,1.579588,0.928305,0.314688,0.610475,0.330218,0.219035,0.229216,0.104465,1.571857,1.841206,1.018986,0.650720,0.239875,0.036568,0.233736,0.062680,0.069557,0.044290,0.455893,1.798461,0.744201,0.389387,0.153173,1.492820,4.036421,1.885002,1.023301,0.363510,0.858278,1.333710,0.992335,0.518086,0.259003,0.966092,1.519837,1.067936,0.722593,0.462409,2.252609,2.453439,1.581357,0.645383,0.617914,0.161248,0.240823,0.256238,0.143687,0.152032,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1531391529.529172,0.244500,0.177334,0.179835,0.185605,0.101699,3.044378,2.863228,2.365631,0.977078,0.559776,0.929914,1.114832,0.757576,0.557023,0.359541,2.068901,2.005315,1.621043,0.863596,0.502115,2.746347,2.121468,1.635837,0.843755,0.310667,0.562579,0.327456,0.222491,0.192843,0.100511,1.659938,1.488434,1.023136,0.526464,0.224880,0.044444,0.201837,0.057225,0.062586,0.044549,0.456586,1.564493,0.541937,0.345815,0.145429,1.552438,3.773090,1.634607,0.884625,0.342795,0.906073,1.311298,0.922179,0.494291,0.237559,1.052607,1.523924,1.019948,0.689167,0.454707,2.492889,2.340926,1.519023,0.653689,0.609252,0.195203,0.252540,0.249386,0.138672,0.170528,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1531391529.656860,0.306482,0.189822,0.167449,0.191797,0.101560,3.372414,2.713324,2.359278,0.894443,0.588782,1.039610,1.031034,0.680386,0.571379,0.361510,2.461221,1.880876,1.569209,0.823711,0.500024,2.875196,1.952803,1.645634,0.727919,0.328997,0.521882,0.342875,0.228351,0.156927,0.099745,1.686036,1.154211,1.008650,0.405345,0.223702,0.052643,0.187960,0.058344,0.052729,0.046929,0.489848,1.555661,0.441623,0.295283,0.149195,1.657540,3.646638,1.454844,0.732740,0.342698,0.984999,1.322939,0.853514,0.478947,0.237241,1.256099,1.475328,0.953902,0.666151,0.465575,2.725496,2.229902,1.461093,0.679063,0.617190,0.246695,0.255642,0.237209,0.132194,0.186409,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1531391529.784548,0.375794,0.213483,0.164100,0.198625,0.098359,3.509835,2.548416,2.275138,0.823447,0.613912,1.162678,0.933689,0.601734,0.586593,0.359959,2.718536,1.805652,1.453417,0.783142,0.496861,2.888212,1.881817,1.616799,0.600072,0.360694,0.510110,0.389536,0.240182,0.124054,0.099826,1.659895,0.933643,0.977720,0.303990,0.231407,0.060732,0.193037,0.063980,0.042574,0.050843,0.556750,1.713286,0.439573,0.247972,0.158295,1.803861,3.780888,1.429899,0.596645,0.349863,1.078356,1.399531,0.815172,0.471218,0.242719,1.497914,1.420168,0.897092,0.652968,0.478455,2.880000,2.211376,1.445007,0.712780,0.612884,0.301165,0.251104,0.219373,0.124887,0.191083,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1531391529.912237,0.436925,0.247039,0.168441,0.202381,0.091842,3.454811,2.418500,2.072762,0.763966,0.621503,1.264433,0.873812,0.542662,0.593956,0.349253,2.798420,1.869080,1.303250,0.743995,0.483811,2.774704,1.973821,1.574641,0.484448,0.392242,0.527122,0.462578,0.259216,0.097042,0.098868,1.603331,0.884933,0.929811,0.235336,0.242326,0.069222,0.212626,0.071986,0.034554,0.055011,0.630906,1.958583,0.524841,0.211250,0.165287,1.952283,4.116415,1.625020,0.502644,0.351588,1.158436,1.518048,0.830659,0.466191,0.241664,1.692961,1.402642,0.891255,0.644746,0.477356,2.927097,2.292847,1.510127,0.743209,0.577425,0.341768,0.238218,0.196633,0.118469,0.180656,4,4,4,4,4,4,4,4,4,4,4,4,4,4
