TimeStamp,AF3_THETA,AF3_ALPHA,AF3_LOW_BETA,AF3_HIGH_BETA,AF3_GAMMA,F7_THETA,F7_ALPHA,F7_LOW_BETA,F7_HIGH_BETA,F7_GAMMA,F3_THETA,F3_ALPHA,F3_LOW_BETA,F3_HIGH_BETA,F3_GAMMA,FC5_THETA,FC5_ALPHA,FC5_LOW_BETA,FC5_HIGH_BETA,FC5_GAMMA,T7_THETA,T7_ALPHA,T7_LOW_BETA,T7_HIGH_BETA,T7_GAMMA,P7_THETA,P7_ALPHA,P7_LOW_BETA,P7_HIGH_BETA,P7_GAMMA,O1_THETA,O1_ALPHA,O1_LOW_BETA,O1_HIGH_BETA,O1_GAMMA,O2_THETA,O2_ALPHA,O2_LOW_BETA,O2_HIGH_BETA,O2_GAMMA,P8_THETA,P8_ALPHA,P8_LOW_BETA,P8_HIGH_BETA,P8_GAMMA,T8_THETA,T8_ALPHA,T8_LOW_BETA,T8_HIGH_BETA,T8_GAMMA,FC6_THETA,FC6_ALPHA,FC6_LOW_BETA,FC6_HIGH_BETA,FC6_GAMMA,F4_THETA,F4_ALPHA,F4_LOW_BETA,F4_HIGH_BETA,F4_GAMMA,F8_THETA,F8_ALPHA,F8_LOW_BETA,F8_HIGH_BETA,F8_GAMMA,AF4_THETA,AF4_ALPHA,AF4_LOW_BETA,AF4_HIGH_BETA,AF4_GAMMA,CQ_AF3,CQ_F7,CQ_F3,CQ_FC5,CQ_T7,CQ_P7,CQ_O1,CQ_O2,CQ_P8,CQ_T8,CQ_FC6,CQ_F4,CQ_F8,CQ_AF4
1531374973.041591,0.091006,0.063101,0.026306,0.024222,0.024438,0.137641,0.137369,0.058822,0.107593,0.128862,0.399751,0.193696,0.200922,0.134370,0.088247,0.575587,0.374923,0.317978,0.338015,0.177721,0.170196,0.148461,0.297190,0.177097,0.119186,0.080178,0.165041,0.082139,0.099564,0.088691,0.220914,0.341686,0.230599,0.226800,0.104492,0.982651,0.580769,0.516455,0.398364,0.262550,12.109485,3.397056,1.762913,0.662915,0.401787,0.949323,0.251713,0.197942,0.258498,0.157983,0.817526,0.388274,0.268789,0.202780,0.120728,0.132245,0.038806,0.057503,0.042042,0.047374,0.097131,0.090510,0.075051,0.051227,0.040298,0.037825,0.019659,0.030724,0.015028,0.030751,1,4,4,4,4,4,4,4,4,4,4,4,4,2
1531374973.166074,0.096983,0.061568,0.023588,0.024561,0.023699,0.161545,0.160719,0.070158,0.111449,0.132723,0.491976,0.239059,0.198972,0.126129,0.092230,0.584178,0.430955,0.309476,0.314752,0.162080,0.172820,0.166323,0.281618,0.169938,0.125501,0.084849,0.128587,0.093190,0.094106,0.073985,0.260732,0.335334,0.205591,0.205820,0.105035,0.953684,0.558237,0.486873,0.352167,0.256841,10.755155,2.918660,1.521806,0.593840,0.408574,0.966043,0.274105,0.209457,0.230982,0.165793,0.892605,0.462448,0.291395,0.198380,0.133983,0.134536,0.037339,0.051170,0.042111,0.047953,0.103582,0.115030,0.075319,0.056523,0.047878,0.030941,0.016604,0.026890,0.015279,0.030349,1,4,4,4,4,4,4,4,4,4,4,4,4,2
1531374973.290557,0.097118,0.056702,0.022241,0.024991,0.023394,0.178511,0.179207,0.088971,0.114112,0.129619,0.575515,0.309175,0.199201,0.121291,0.092992,0.582034,0.503383,0.325817,0.286923,0.151904,0.173500,0.176219,0.251469,0.163244,0.127623,0.081541,0.107136,0.119115,0.090623,0.065846,0.310257,0.334532,0.190701,0.175811,0.108529,0.896688,0.574047,0.481786,0.309542,0.259202,8.968141,2.271316,1.151963,0.536849,0.434535,0.958723,0.378296,0.236205,0.210153,0.177973,0.929659,0.543866,0.339787,0.194827,0.139266,0.131130,0.040461,0.047146,0.040147,0.047797,0.118406,0.145868,0.077938,0.066214,0.055742,0.026906,0.016134,0.024798,0.016160,0.029254,1,4,4,4,4,4,4,4,4,4,4,4,4,2
1531374973.415040,0.090188,0.049326,0.025279,0.025303,0.024593,0.182509,0.186271,0.113889,0.113867,0.119697,0.627677,0.396544,0.213491,0.120797,0.091036,0.574426,0.598094,0.391828,0.260586,0.145171,0.187775,0.177519,0.223196,0.155472,0.124875,0.073791,0.106403,0.161690,0.089932,0.065390,0.365042,0.336447,0.199778,0.145455,0.114583,0.829335,0.638580,0.545752,0.285884,0.270873,7.044831,1.638342,0.774821,0.516448,0.466146,0.933827,0.556495,0.292916,0.201211,0.194046,0.923300,0.633185,0.426173,0.194575,0.136990,0.122194,0.049268,0.047687,0.036867,0.047193,0.140714,0.183502,0.089157,0.078192,0.063122,0.026409,0.018005,0.023926,0.017799,0.027956,1,4,4,4,4,4,4,4,4,4,4,4,4,2
1531374973.539523,0.076811,0.041236,0.033545,0.025100,0.027611,0.174310,0.179149,0.139022,0.109327,0.105420,0.635961,0.488144,0.244757,0.122133,0.087792,0.568347,0.711274,0.503261,0.235553,0.138752,0.235104,0.172106,0.209142,0.144854,0.118151,0.064752,0.123961,0.212318,0.093089,0.071047,0.411035,0.335879,0.239042,0.123642,0.121999,0.769847,0.751789,0.702879,0.287545,0.287875,5.364461,1.165486,0.497061,0.550263,0.487418,0.895732,0.779747,0.384402,0.200929,0.211478,0.872744,0.719597,0.540630,0.195360,0.131574,0.111174,0.063616,0.053985,0.033364,0.046599,0.166511,0.222069,0.109964,0.088818,0.069836,0.028582,0.021031,0.023619,0.019842,0.026738,1,4,4,4,4,4,4,4,4,4,4,4,4,2
1531374973.664006,0.059687,0.034346,0.044789,0.024135,0.031764,0.162683,0.160569,0.158164,0.100576,0.091098,0.611562,0.568270,0.285997,0.120716,0.084946,0.583193,0.824656,0.631394,0.208108,0.131490,0.327066,0.166715,0.215456,0.131619,0.109882,0.063012,0.152040,0.257675,0.100606,0.079043,0.439649,0.327185,0.305276,0.116963,0.129467,0.738168,0.892275,0.936105,0.310271,0.302780,4.187543,0.892330,0.372666,0.636047,0.488262,0.860235,0.993960,0.504726,0.201240,0.226512,0.794512,0.784188,0.655747,0.192301,0.129148,0.102594,0.081028,0.065426,0.030713,0.046519,0.207672,0.252616,0.136107,0.094559,0.076135,0.032404,0.023837,0.023736,0.021603,0.025548,1,4,4,4,4,4,4,4,4,4,4,4,4,2
1531374973.788489,0.042781,0.029400,0.054854,0.022601,0.035804,0.161695,0.137408,0.166957,0.089161,0.081704,0.576338,0.617969,0.322860,0.113789,0.083995,0.640809,0.907029,0.735268,0.177339,0.125369,0.460539,0.166919,0.239943,0.118620,0.103402,0.076016,0.181196,0.285062,0.110924,0.085003,0.444962,0.306796,0.385298,0.126337,0.136006,0.741642,1.017367,1.186460,0.343431,0.308630,3.486363,0.770109,0.412812,0.755707,0.467649,0.838810,1.136394,0.637494,0.195941,0.235646,0.708184,0.803640,0.737503,0.182321,0.135189,0.098954,0.097273,0.079244,0.029456,0.047182,0.263512,0.265522,0.159666,0.093781,0.082384,0.036200,0.025548,0.024212,0.022378,0.024170,1,4,4,4,4,4,4,4,4,4,4,4,4,2
1531374973.912971,0.029257,0.026145,0.059711,0.021078,0.038667,0.171927,0.116916,0.165113,0.076895,0.080497,0.543417,0.623031,0.340628,0.102101,0.085948,0.723097,0.925924,0.780166,0.147025,0.123591,0.594107,0.172161,0.275877,0.109135,0.101713,0.103445,0.202429,0.286674,0.120012,0.085743,0.421787,0.274304,0.456274,0.146832,0.140550,0.775616,1.082984,1.383252,0.374845,0.303081,3.163418,0.766596,0.601159,0.879789,0.432170,0.834286,1.161902,0.756800,0.183348,0.237396,0.633488,0.760084,0.763497,0.166061,0.151993,0.099791,0.107918,0.091137,0.029379,0.048246,0.334545,0.254486,0.173438,0.086855,0.088785,0.039249,0.025719,0.024820,0.021884,0.022456,1,4,4,4,4,4,4,4,4,4,4,4,4,2
1531374974.037555,0.020713,0.023923,0.057706,0.020122,0.039977,0.194232,0.104592,0.156700,0.065223,0.087168,0.522981,0.581631,0.333604,0.089031,0.091441,0.805413,0.866037,0.754782,0.122083,0.127548,0.694618,0.175873,0.312928,0.104520,0.106106,0.138910,0.209230,0.262743,0.122850,0.080034,0.377526,0.234480,0.498192,0.170271,0.141921,0.814527,1.063029,1.471417,0.396672,0.289720,3.189945,0.872834,0.897535,0.980068,0.391252,0.825295,1.067902,0.842946,0.166201,0.232854,0.569855,0.659497,0.742594,0.147153,0.177073,0.099396,0.109619,0.097188,0.029426,0.048929,0.393607,0.222014,0.176050,0.076191,0.095420,0.040186,0.024483,0.025267,0.020376,0.020428,1,4,4,4,4,4,4,4,4,4,4,4,4,2
1531374974.162038,0.017070,0.022664,0.049670,0.019970,0.040110,0.215249,0.104748,0.147747,0.055422,0.098607,0.503095,0.509287,0.307832,0.078410,0.101128,0.845134,0.746133,0.675406,0.104562,0.136739,0.728992,0.170858,0.339626,0.104742,0.115513,0.169974,0.199681,0.220514,0.116574,0.069241,0.322537,0.200690,0.504929,0.188831,0.139825,0.841254,0.970030,1.432095,0.406665,0.276444,3.588064,1.086600,1.244632,1.041142,0.353543,0.810262,0.901374,0.887344,0.151685,0.226769,0.526795,0.535553,0.704149,0.131548,0.205287,0.093703,0.102189,0.095552,0.028408,0.048608,0.433229,0.179170,0.171296,0.065746,0.102355,0.038897,0.022476,0.025719,0.018623,0.018363,1,4,4,4,4,4,4,4,4,4,4,4,4,2
