TimeStamp,AF3_THETA,AF3_ALPHA,AF3_LOW_BETA,AF3_HIGH_BETA,AF3_GAMMA,F7_THETA,F7_ALPHA,F7_LOW_BETA,F7_HIGH_BETA,F7_GAMMA,F3_THETA,F3_ALPHA,F3_LOW_BETA,F3_HIGH_BETA,F3_GAMMA,FC5_THETA,FC5_ALPHA,FC5_LOW_BETA,FC5_HIGH_BETA,FC5_GAMMA,T7_THETA,T7_ALPHA,T7_LOW_BETA,T7_HIGH_BETA,T7_GAMMA,P7_THETA,P7_ALPHA,P7_LOW_BETA,P7_HIGH_BETA,P7_GAMMA,O1_THETA,O1_ALPHA,O1_LOW_BETA,O1_HIGH_BETA,O1_GAMMA,O2_THETA,O2_ALPHA,O2_LOW_BETA,O2_HIGH_BETA,O2_GAMMA,P8_THETA,P8_ALPHA,P8_LOW_BETA,P8_HIGH_BETA,P8_GAMMA,T8_THETA,T8_ALPHA,T8_LOW_BETA,T8_HIGH_BETA,T8_GAMMA,FC6_THETA,FC6_ALPHA,FC6_LOW_BETA,FC6_HIGH_BETA,FC6_GAMMA,F4_THETA,F4_ALPHA,F4_LOW_BETA,F4_HIGH_BETA,F4_GAMMA,F8_THETA,F8_ALPHA,F8_LOW_BETA,F8_HIGH_BETA,F8_GAMMA,AF4_THETA,AF4_ALPHA,AF4_LOW_BETA,AF4_HIGH_BETA,AF4_GAMMA,CQ_AF3,CQ_F7,CQ_F3,CQ_FC5,CQ_T7,CQ_P7,CQ_O1,CQ_O2,CQ_P8,CQ_T8,CQ_FC6,CQ_F4,CQ_F8,CQ_AF4
1531226108.737448,5.506283,2.941054,1.372624,3.214688,0.690068,5.370344,1.739287,1.171968,2.961519,1.224375,0.930136,0.754442,1.227237,1.550388,0.326291,0.780702,1.362234,0.779210,1.753116,0.696173,0.855440,1.986610,2.474946,17.904784,6.032081,0.489493,1.161189,0.859791,2.789132,1.132606,1.208706,0.714390,0.501833,1.872355,0.700750,2.008577,1.227743,2.784229,3.369579,0.953877,0.891211,1.384251,2.635481,3.542089,1.047067,1.104145,2.641090,1.488094,3.085788,1.995920,5.266550,1.478606,1.127159,3.432471,0.743748,2.024158,1.286132,0.936557,3.029072,0.639440,29.385203,3.560266,1.293995,4.014617,1.010654,4.201250,2.033369,0.756826,2.726680,0.780279,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1531226108.863632,7.484864,3.300979,1.646841,2.925226,0.634736,7.589255,2.031254,1.447528,2.787632,1.053372,1.291958,0.805167,1.285291,1.426346,0.286893,1.048059,1.520289,0.917970,1.709740,0.635811,0.978205,2.328881,2.509451,17.449313,5.577029,0.477657,1.226461,0.769799,2.672664,1.085013,1.446914,0.670940,0.565537,1.881015,0.639367,2.023169,1.269666,3.565529,3.303214,0.831447,1.042498,1.725108,3.289601,3.354676,0.918832,1.031267,3.164394,1.624402,3.246334,2.095504,6.617996,1.443373,1.201199,2.932249,0.657435,2.814644,1.566848,1.047832,2.554080,0.550603,39.743967,3.579496,1.392253,3.406188,0.867527,5.937360,2.079099,0.844231,2.365645,0.701756,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1531226108.989615,9.656931,3.555821,1.989275,2.616958,0.593128,10.548079,2.795478,1.763644,2.610618,0.927473,1.654083,0.823755,1.311901,1.281256,0.265156,1.395944,1.626433,1.096919,1.676103,0.599236,1.105892,2.780475,2.974663,16.462605,5.297826,0.508987,1.370501,0.793044,2.465304,1.132274,1.659734,0.692460,0.730571,1.817895,0.609063,1.950876,1.223117,4.435826,3.163288,0.748930,1.156923,2.015497,4.108206,3.116731,0.864468,1.053819,3.557752,2.104852,3.301803,2.189494,8.346098,1.469084,1.346004,2.436697,0.617314,3.856835,1.818805,1.214452,2.093694,0.495696,48.994032,3.651581,1.539960,2.807353,0.762374,7.926626,2.116689,0.961766,2.000714,0.644290,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1531226109.115599,11.800800,3.655084,2.281557,2.356209,0.578807,13.460751,3.962923,1.997073,2.424716,0.890933,1.986920,0.815271,1.292852,1.143068,0.267435,1.748947,1.662351,1.246161,1.640130,0.604260,1.200302,3.285400,3.863004,14.769842,5.375351,0.600421,1.569226,0.949500,2.196175,1.274825,1.811322,0.831917,1.042703,1.681925,0.625564,1.811279,1.147382,5.130231,2.866808,0.738410,1.200948,2.255396,4.858148,2.810516,0.927352,1.132592,3.802545,2.844341,3.190931,2.286490,10.520087,1.555621,1.514192,2.034055,0.646533,5.118700,1.978001,1.365526,1.730407,0.484297,56.001283,3.778541,1.692744,2.334612,0.736885,10.033136,2.128527,1.076058,1.707156,0.627290,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1531226109.241783,13.452626,3.572586,2.422735,2.157714,0.600866,15.896645,5.305585,2.045293,2.199879,0.951755,2.256405,0.791360,1.227874,1.024910,0.293284,2.013570,1.622490,1.295285,1.574267,0.653113,1.208652,3.736359,4.985210,12.381203,5.829342,0.743203,1.771128,1.197439,1.877215,1.482931,1.867389,1.112256,1.539430,1.489784,0.683896,1.676004,1.133763,5.407516,2.393160,0.806345,1.189004,2.469939,5.298359,2.413712,1.101747,1.226139,3.911572,3.686722,2.910088,2.397003,12.628428,1.669116,1.659718,1.744077,0.743319,6.329704,2.017946,1.459574,1.485042,0.514496,59.445186,3.841405,1.810060,2.004311,0.801072,11.798171,2.098247,1.163330,1.507569,0.653264,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1531226109.367667,14.235687,3.318554,2.370399,2.001793,0.664898,17.161986,6.443285,1.874542,1.927567,1.084136,2.482195,0.775485,1.130050,0.928497,0.338463,2.105437,1.518833,1.213507,1.460331,0.735734,1.177855,3.992326,6.051396,9.613975,6.490266,0.922720,1.926255,1.458040,1.539662,1.715950,1.830440,1.485551,2.194598,1.282849,0.764077,1.649025,1.214868,5.165583,1.839944,0.931486,1.223020,2.685292,5.307009,1.959577,1.334435,1.299193,3.913423,4.400024,2.522916,2.521546,14.080667,1.798215,1.756049,1.540971,0.886705,7.188139,1.956243,1.488267,1.333549,0.580941,58.353964,3.846102,1.868417,1.767930,0.933498,12.794664,2.038632,1.216530,1.383967,0.712009,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1531226109.493851,13.911246,2.933057,2.159929,1.869109,0.767892,16.775988,7.010406,1.562434,1.635874,1.239245,2.703510,0.804139,1.021528,0.853343,0.395847,1.985541,1.383472,1.031719,1.306486,0.832627,1.132352,3.971022,6.819204,7.038509,7.107315,1.120353,2.020539,1.660641,1.265437,1.939208,1.726386,1.851023,2.890782,1.115132,0.844947,1.824220,1.357306,4.515338,1.379722,1.077810,1.449138,2.901353,4.935650,1.558613,1.551724,1.366649,3.850482,4.776720,2.137141,2.644192,14.557124,1.981759,1.816440,1.386808,1.045867,7.481966,1.843530,1.475322,1.244482,0.674754,53.982075,3.946198,1.888101,1.574470,1.088859,12.775960,1.972939,1.244581,1.309087,0.784522,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1531226109.620034,12.592175,2.496897,1.867682,1.771028,0.896245,14.860708,6.854446,1.251644,1.389034,1.364756,2.903724,0.904403,0.909528,0.804252,0.456500,1.687833,1.263019,0.813357,1.156272,0.920944,1.134172,3.696641,7.091407,5.235823,7.482349,1.330930,2.066654,1.761983,1.170055,2.131653,1.587672,2.083401,3.435715,1.033977,0.911340,2.212377,1.513198,3.723480,1.175366,1.208806,1.966365,3.070020,4.365896,1.368793,1.699270,1.499206,3.757710,4.703651,1.883613,2.731164,13.914832,2.265529,1.872756,1.262864,1.191177,7.125148,1.751126,1.450421,1.209234,0.785336,46.991584,4.305663,1.909879,1.423044,1.219045,11.743188,1.942503,1.255943,1.275901,0.852121,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1531226109.746218,10.749667,2.084051,1.572320,1.744834,1.024128,12.025970,6.097934,1.091028,1.255406,1.423134,3.033803,1.073449,0.788958,0.790502,0.510173,1.303035,1.187737,0.627616,1.071487,0.978293,1.184154,3.323420,6.812954,4.580571,7.545148,1.552969,2.105571,1.748504,1.342070,2.282600,1.461877,2.110565,3.641253,1.060666,0.954825,2.808734,1.717257,3.049519,1.300360,1.296129,2.783287,3.190392,3.791579,1.523620,1.767924,1.819360,3.722275,4.211381,1.878653,2.744478,12.598640,2.667023,1.952902,1.187432,1.300967,6.299837,1.720540,1.424391,1.253456,0.898908,39.525032,4.966992,1.980650,1.368375,1.294202,10.135866,1.964983,1.251607,1.302759,0.901988,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1531226109.873202,9.094405,1.762114,1.322633,1.813695,1.121148,9.907793,5.163626,1.155715,1.262665,1.403503,3.030991,1.269349,0.656544,0.817191,0.547021,1.018481,1.178184,0.513435,1.087926,0.989542,1.293629,3.041267,6.029710,5.061375,7.360087,1.763021,2.166254,1.645022,1.781248,2.391974,1.399576,1.941176,3.420548,1.174244,0.977491,3.544440,2.028635,2.634755,1.700984,1.331653,3.756226,3.288196,3.311954,2.046601,1.801122,2.412247,3.809064,3.430570,2.151761,2.671260,11.271715,3.151738,2.014532,1.182022,1.366060,5.375013,1.745778,1.388697,1.399363,0.998559,32.923307,5.939854,2.067865,1.455584,1.310155,8.661411,2.046600,1.222949,1.404808,0.927362,4,4,4,4,4,4,4,4,4,4,4,4,4,4
