TimeStamp,AF3_THETA,AF3_ALPHA,AF3_LOW_BETA,AF3_HIGH_BETA,AF3_GAMMA,F7_THETA,F7_ALPHA,F7_LOW_BETA,F7_HIGH_BETA,F7_GAMMA,F3_THETA,F3_ALPHA,F3_LOW_BETA,F3_HIGH_BETA,F3_GAMMA,FC5_THETA,FC5_ALPHA,FC5_LOW_BETA,FC5_HIGH_BETA,FC5_GAMMA,T7_THETA,T7_ALPHA,T7_LOW_BETA,T7_HIGH_BETA,T7_GAMMA,P7_THETA,P7_ALPHA,P7_LOW_BETA,P7_HIGH_BETA,P7_GAMMA,O1_THETA,O1_ALPHA,O1_LOW_BETA,O1_HIGH_BETA,O1_GAMMA,O2_THETA,O2_ALPHA,O2_LOW_BETA,O2_HIGH_BETA,O2_GAMMA,P8_THETA,P8_ALPHA,P8_LOW_BETA,P8_HIGH_BETA,P8_GAMMA,T8_THETA,T8_ALPHA,T8_LOW_BETA,T8_HIGH_BETA,T8_GAMMA,FC6_THETA,FC6_ALPHA,FC6_LOW_BETA,FC6_HIGH_BETA,FC6_GAMMA,F4_THETA,F4_ALPHA,F4_LOW_BETA,F4_HIGH_BETA,F4_GAMMA,F8_THETA,F8_ALPHA,F8_LOW_BETA,F8_HIGH_BETA,F8_GAMMA,AF4_THETA,AF4_ALPHA,AF4_LOW_BETA,AF4_HIGH_BETA,AF4_GAMMA,CQ_AF3,CQ_F7,CQ_F3,CQ_FC5,CQ_T7,CQ_P7,CQ_O1,CQ_O2,CQ_P8,CQ_T8,CQ_FC6,CQ_F4,CQ_F8,CQ_AF4
1531225623.556850,1.606796,0.722271,0.776940,0.656198,0.335176,2.717188,2.169159,0.546168,0.864307,0.387843,1.120059,0.801915,0.497572,0.409013,0.240830,1.047632,1.113131,0.488961,0.567957,0.279468,2.187633,1.594162,2.108591,2.951122,1.958916,2.079811,0.765735,2.328732,0.995293,0.520979,1.446287,0.886698,2.511526,0.912734,0.404404,5.012118,10.587411,3.767459,4.729264,0.923415,3.196584,4.026727,1.523067,1.323765,0.628382,16.468923,5.687489,1.419835,1.033625,0.649489,2.528981,1.025730,0.772608,0.999945,0.816246,2.051665,0.698246,0.741003,0.813889,0.526047,4.460607,1.218746,0.796219,0.841512,0.598930,1.512683,0.542113,0.489557,0.624197,0.368185,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1531225623.681733,1.623751,0.804358,0.812721,0.624563,0.336118,2.516793,1.961215,0.580853,0.864986,0.393652,0.930649,0.812603,0.531839,0.463490,0.244057,0.940978,1.034326,0.526601,0.542973,0.279921,2.057196,1.599331,2.135473,2.902027,2.125635,1.837501,0.700981,2.319547,0.968388,0.495579,1.365248,1.092024,2.641113,0.876450,0.405226,4.184222,9.384313,3.361447,4.213004,0.877613,3.358982,4.117691,1.311349,1.277697,0.610598,15.959063,4.679316,1.207453,1.198341,0.655256,2.612887,0.788764,0.801469,1.030188,0.754279,2.112423,0.803568,0.750014,0.751909,0.502324,3.785357,1.070885,0.736953,0.882032,0.547655,1.481936,0.513754,0.450490,0.565595,0.354791,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1531225623.806616,1.538886,0.885299,0.837312,0.639285,0.318880,2.217182,1.644682,0.600257,0.874738,0.378639,0.733404,0.825768,0.549826,0.526128,0.238812,0.864703,0.903865,0.552482,0.527532,0.262994,1.761143,1.506825,2.095985,2.608165,2.190193,1.530228,0.607738,2.089354,0.846817,0.435348,1.378636,1.310989,2.506367,0.827926,0.388416,3.800412,8.040074,2.991287,3.697381,0.783166,3.465272,4.130065,1.084976,1.224177,0.554009,16.196073,4.003424,1.212310,1.292010,0.608531,2.527463,0.666043,0.800875,1.079002,0.630901,2.061807,0.942867,0.747528,0.740341,0.453771,2.978842,0.943904,0.670696,0.942665,0.472550,1.400778,0.535940,0.430447,0.543799,0.319683,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1531225623.931499,1.357743,0.929854,0.830616,0.682193,0.294705,1.890285,1.306480,0.595048,0.902292,0.354956,0.594010,0.815160,0.561020,0.573578,0.227083,0.841432,0.745744,0.555549,0.519039,0.235502,1.423157,1.360574,2.020360,2.187294,2.193471,1.249614,0.500981,1.716901,0.671568,0.367515,1.456015,1.462217,2.151986,0.827662,0.364987,3.744744,6.712676,2.788590,3.205938,0.668869,3.438446,4.070129,0.912181,1.150834,0.478735,16.744721,3.511697,1.454073,1.274576,0.528204,2.291573,0.649798,0.772670,1.141033,0.485341,1.884431,1.063755,0.722867,0.767468,0.398136,2.211858,0.849632,0.629863,1.019227,0.400748,1.298070,0.584672,0.420850,0.556085,0.278057,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1531225624.056382,1.151507,0.916606,0.836447,0.732697,0.278405,1.587261,1.013909,0.586255,0.944310,0.336289,0.546233,0.760128,0.599610,0.599273,0.213833,0.872360,0.584257,0.550803,0.510508,0.208122,1.158985,1.216404,1.961952,1.786947,2.188589,1.049837,0.402237,1.340228,0.513938,0.322292,1.557299,1.492012,1.739347,0.955530,0.347415,3.800977,5.546967,2.838876,2.791517,0.564894,3.246266,3.921104,0.881358,1.065789,0.410116,16.972472,3.114830,1.927772,1.150759,0.443967,1.972888,0.684425,0.797856,1.204764,0.363261,1.602771,1.103476,0.729304,0.810862,0.356392,1.641864,0.792260,0.700102,1.103014,0.354470,1.207486,0.620634,0.470906,0.592626,0.247318,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1531225624.181464,1.039401,0.866185,0.954810,0.776353,0.280522,1.314194,0.799639,0.617662,0.987504,0.330153,0.612259,0.667430,0.713106,0.611846,0.204470,0.937253,0.450187,0.577782,0.498006,0.190790,1.020337,1.126378,1.994560,1.526442,2.209457,0.935842,0.346893,1.095505,0.443650,0.318688,1.660377,1.424078,1.489703,1.255041,0.344505,3.745316,4.864151,3.260883,2.547273,0.490137,2.874281,3.685176,1.100554,1.001632,0.366735,16.669690,2.884155,2.574347,0.973354,0.380793,1.643462,0.726380,0.986512,1.254380,0.294932,1.303516,1.044238,0.865897,0.846981,0.341481,1.312830,0.773780,0.956355,1.181209,0.340853,1.163394,0.631718,0.665708,0.638896,0.238400,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1531225624.306947,1.161067,0.834617,1.246012,0.805981,0.305324,1.119897,0.676539,0.712831,1.011280,0.336050,0.767340,0.564369,0.913823,0.624560,0.204515,1.030325,0.367136,0.663979,0.478695,0.189017,0.977796,1.126725,2.136544,1.468865,2.264905,0.871835,0.369034,1.046950,0.495507,0.356482,1.745843,1.342048,1.599431,1.696703,0.357587,3.428507,5.114692,4.206697,2.519507,0.448643,2.332179,3.407062,1.641599,0.985888,0.356300,15.530703,2.871618,3.262083,0.808731,0.351916,1.354500,0.770473,1.397218,1.270891,0.288630,1.111187,0.929350,1.191174,0.859163,0.354964,1.188296,0.804627,1.395898,1.239682,0.355134,1.211679,0.659406,1.041473,0.676872,0.254388,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1531225624.432630,1.577495,0.878320,1.672921,0.819084,0.348757,1.075903,0.634038,0.860638,0.994847,0.346348,0.961055,0.485355,1.156436,0.642082,0.216981,1.155292,0.348717,0.807677,0.451356,0.201614,0.961963,1.234979,2.350319,1.587872,2.342557,0.828039,0.490462,1.163949,0.651334,0.416677,1.830610,1.346070,2.131908,2.176306,0.379889,2.918954,6.469406,5.665146,2.661417,0.432809,1.723697,3.156898,2.443597,1.014982,0.374781,14.072301,3.136237,3.825189,0.707634,0.357031,1.183795,0.840671,1.987197,1.239792,0.331119,1.153138,0.834182,1.670947,0.842452,0.387371,1.238901,0.879366,1.932983,1.261903,0.385437,1.391851,0.753247,1.546079,0.690535,0.291663,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1531225624.558313,2.203379,1.024597,2.110601,0.823273,0.399822,1.193556,0.654671,1.029630,0.938158,0.351567,1.126180,0.448869,1.356797,0.657430,0.239796,1.286517,0.396321,0.988786,0.428754,0.222930,0.914667,1.425808,2.558639,1.804283,2.422426,0.784479,0.684889,1.353646,0.857979,0.471189,1.922149,1.463942,2.968459,2.553150,0.400682,2.375589,8.601028,7.395554,2.861271,0.433012,1.158300,2.970116,3.322727,1.066341,0.411568,13.126457,3.671715,4.117711,0.688271,0.386846,1.161319,0.954024,2.600645,1.165278,0.397480,1.464721,0.827156,2.176794,0.811121,0.424336,1.434448,0.982124,2.419046,1.244947,0.419524,1.695283,0.943290,2.050725,0.681837,0.341809,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1531225624.683995,2.854287,1.259571,2.400130,0.830647,0.444299,1.379551,0.733350,1.176040,0.865333,0.346024,1.199236,0.466657,1.432779,0.656000,0.267129,1.375290,0.501731,1.167472,0.431280,0.245974,0.820788,1.649893,2.690356,2.040158,2.490165,0.753559,0.895854,1.527271,1.063085,0.497041,2.007877,1.662961,3.865148,2.715350,0.410762,1.982481,10.815972,8.968035,2.983212,0.444842,0.743459,2.849338,4.042832,1.116850,0.454768,13.283591,4.412141,4.080670,0.747297,0.429968,1.259041,1.100427,3.038736,1.075485,0.463375,1.945278,0.934705,2.536361,0.789203,0.454209,1.685112,1.085568,2.698308,1.206512,0.448962,2.042664,1.217094,2.398484,0.672389,0.392869,4,4,4,4,4,4,4,4,4,4,4,4,4,4
