TimeStamp,AF3_THETA,AF3_ALPHA,AF3_LOW_BETA,AF3_HIGH_BETA,AF3_GAMMA,F7_THETA,F7_ALPHA,F7_LOW_BETA,F7_HIGH_BETA,F7_GAMMA,F3_THETA,F3_ALPHA,F3_LOW_BETA,F3_HIGH_BETA,F3_GAMMA,FC5_THETA,FC5_ALPHA,FC5_LOW_BETA,FC5_HIGH_BETA,FC5_GAMMA,T7_THETA,T7_ALPHA,T7_LOW_BETA,T7_HIGH_BETA,T7_GAMMA,P7_THETA,P7_ALPHA,P7_LOW_BETA,P7_HIGH_BETA,P7_GAMMA,O1_THETA,O1_ALPHA,O1_LOW_BETA,O1_HIGH_BETA,O1_GAMMA,O2_THETA,O2_ALPHA,O2_LOW_BETA,O2_HIGH_BETA,O2_GAMMA,P8_THETA,P8_ALPHA,P8_LOW_BETA,P8_HIGH_BETA,P8_GAMMA,T8_THETA,T8_ALPHA,T8_LOW_BETA,T8_HIGH_BETA,T8_GAMMA,FC6_THETA,FC6_ALPHA,FC6_LOW_BETA,FC6_HIGH_BETA,FC6_GAMMA,F4_THETA,F4_ALPHA,F4_LOW_BETA,F4_HIGH_BETA,F4_GAMMA,F8_THETA,F8_ALPHA,F8_LOW_BETA,F8_HIGH_BETA,F8_GAMMA,AF4_THETA,AF4_ALPHA,AF4_LOW_BETA,AF4_HIGH_BETA,AF4_GAMMA,CQ_AF3,CQ_F7,CQ_F3,CQ_FC5,CQ_T7,CQ_P7,CQ_O1,CQ_O2,CQ_P8,CQ_T8,CQ_FC6,CQ_F4,CQ_F8,CQ_AF4
1531225253.894341,2.595746,4.825833,2.427999,0.869483,0.337826,4.494621,3.016081,2.323531,0.965380,0.425135,2.052275,2.409086,1.493290,0.688176,0.248765,1.682870,1.939484,1.462805,0.592719,0.260552,0.884382,1.793830,2.884129,2.714981,1.655330,0.170843,1.592814,1.582775,1.286704,0.443218,1.386888,6.486965,2.772644,2.118028,0.351313,2.658791,79.865840,48.401125,4.450116,0.663448,1.002979,14.591018,12.085362,1.062276,0.551338,1.388047,8.990595,5.415127,1.584650,0.597346,2.218504,4.151971,2.454045,1.087951,0.404906,4.237622,5.410034,2.287760,0.913959,0.433827,3.039017,3.879929,2.476715,0.821251,0.397366,2.637912,4.203436,2.045405,0.861081,0.302941,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1531225254.021626,2.545508,3.568231,1.768228,0.890911,0.431432,3.924145,2.411438,1.934574,1.004634,0.469592,1.855111,1.737016,1.095978,0.694321,0.271371,1.383420,1.393303,1.060280,0.624853,0.297912,0.853484,1.260939,2.325660,2.515179,1.648627,0.251869,1.113464,1.172999,1.186833,0.470141,1.080017,4.217712,1.820743,2.213627,0.345153,2.230116,53.861062,41.862876,4.913347,0.634537,1.066958,10.531673,10.636750,1.133505,0.528663,1.095483,8.257547,5.486569,1.552691,0.624696,1.810884,3.758998,2.279647,1.098446,0.492493,4.260154,4.269489,1.779831,0.931972,0.525695,2.463426,3.261256,2.256698,0.850101,0.495702,2.825799,3.328017,1.595451,0.870781,0.379681,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1531225254.148910,2.621604,2.510380,1.482814,0.948710,0.527362,3.148532,1.870770,1.782462,1.037610,0.529928,1.788428,1.206565,0.845543,0.712824,0.304250,1.109498,0.936984,0.809388,0.647605,0.345314,0.790316,0.875204,1.912382,2.379919,1.686821,0.424392,0.834229,0.894703,1.124284,0.521700,0.919177,2.921712,1.546326,2.243722,0.358237,1.988445,32.796016,33.741096,5.083286,0.607058,1.163624,7.150796,9.081629,1.224544,0.517567,1.103502,7.011515,5.481526,1.532383,0.655600,1.586631,3.342868,2.261671,1.105435,0.585225,4.425301,3.166857,1.518953,0.969877,0.620563,2.084755,2.811353,2.239538,0.912501,0.587476,3.061823,2.513854,1.388785,0.898938,0.461874,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1531225254.276195,2.692133,1.805687,1.521613,1.022646,0.597395,2.356452,1.455949,1.826225,1.050740,0.586574,1.768649,0.887909,0.705425,0.733012,0.336582,0.888382,0.614650,0.696546,0.647961,0.391198,0.767430,0.660894,1.611510,2.269044,1.704435,0.704746,0.690499,0.750666,1.099325,0.571875,1.006595,2.383477,1.670232,2.216313,0.378880,2.154025,19.166377,24.941679,4.886742,0.577278,1.365203,4.873652,7.582289,1.295165,0.503463,1.387572,5.529360,5.356660,1.528487,0.679717,1.553623,2.926270,2.337764,1.118235,0.660374,4.471130,2.298737,1.463448,1.036462,0.687140,2.022918,2.528298,2.357147,0.999622,0.644663,3.192526,1.893697,1.405450,0.942388,0.524162,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1531225254.403480,2.619423,1.420597,1.745958,1.090550,0.622588,1.685628,1.145172,1.946690,1.037643,0.622945,1.706607,0.755107,0.624092,0.750237,0.357489,0.709093,0.407565,0.668036,0.622146,0.424347,0.825632,0.566627,1.386115,2.157675,1.666707,1.057983,0.607801,0.725730,1.095484,0.599097,1.359937,2.235697,1.869834,2.161385,0.392631,2.787686,12.007893,16.942322,4.421316,0.541103,1.698516,3.568746,6.357062,1.327907,0.474019,1.861638,4.058135,5.092819,1.544223,0.687951,1.695488,2.493786,2.408428,1.141205,0.698026,4.180487,1.713831,1.529531,1.133061,0.704993,2.252769,2.319504,2.478656,1.096529,0.650113,3.106988,1.475409,1.566333,0.994067,0.548700,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1531225254.530764,2.373794,1.241913,2.023102,1.134140,0.600129,1.286686,0.894754,2.030090,0.993904,0.632230,1.571056,0.730287,0.565403,0.766416,0.360188,0.565932,0.274615,0.668280,0.574984,0.438382,0.942287,0.529509,1.242106,2.039091,1.578208,1.403558,0.549820,0.769194,1.085863,0.594236,1.893947,2.216827,1.944295,2.136401,0.390502,3.754599,8.820003,10.892470,3.890812,0.496729,2.136696,2.909295,5.454210,1.319964,0.426952,2.397384,2.813498,4.693787,1.569122,0.674806,2.019238,2.063552,2.426536,1.166114,0.688348,3.544740,1.364179,1.657121,1.243972,0.670041,2.778690,2.140857,2.517501,1.179483,0.604867,2.832208,1.203998,1.787984,1.041188,0.530533,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1531225254.658049,2.050160,1.149753,2.278444,1.151006,0.544466,1.217376,0.672080,2.034086,0.931335,0.618415,1.386753,0.728811,0.542829,0.789570,0.345065,0.468490,0.186151,0.667049,0.521290,0.433426,1.057958,0.528020,1.227941,1.918971,1.476858,1.640808,0.517754,0.799126,1.049688,0.560999,2.458265,2.262094,1.884900,2.215010,0.375647,4.709240,7.770555,7.003995,3.557285,0.450032,2.577964,2.646370,4.728876,1.307998,0.373788,2.852704,1.932254,4.192109,1.600803,0.640743,2.515356,1.668205,2.435686,1.191961,0.636061,2.737115,1.158316,1.824952,1.346401,0.595477,3.650137,1.987493,2.506810,1.232305,0.526170,2.497056,1.007597,2.012823,1.076179,0.478800,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1531225254.785334,1.755074,1.110650,2.463302,1.158167,0.478465,1.418547,0.499583,1.976362,0.876700,0.590063,1.218994,0.716518,0.575181,0.827011,0.318338,0.414755,0.138986,0.653761,0.481396,0.414336,1.117492,0.572850,1.369238,1.807087,1.413304,1.702838,0.529073,0.765454,0.984598,0.511688,2.910685,2.416265,1.822922,2.455018,0.359942,5.390735,8.593505,5.072703,3.570571,0.412975,2.904522,2.717527,4.132412,1.351816,0.334166,3.107078,1.469199,3.648903,1.648396,0.591845,3.149327,1.365291,2.490814,1.233544,0.557956,2.007601,1.043710,2.001168,1.426386,0.504912,4.906912,1.896335,2.519313,1.258030,0.438621,2.237204,0.873033,2.189801,1.103580,0.410899,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1531225254.912618,1.554119,1.137680,2.546039,1.167507,0.422388,1.717326,0.396576,1.892499,0.850281,0.555870,1.107724,0.692138,0.661131,0.873058,0.287832,0.391530,0.132418,0.622862,0.466338,0.388442,1.105446,0.674255,1.642860,1.697886,1.422627,1.575954,0.597130,0.666440,0.906310,0.461760,3.166732,2.780059,1.901210,2.844285,0.355772,5.618387,11.626811,4.732149,3.952051,0.394205,3.002310,3.094818,3.724112,1.506849,0.322142,3.103224,1.340472,3.121244,1.712884,0.537203,3.738439,1.170644,2.614129,1.306833,0.476174,1.532110,1.000185,2.140626,1.477933,0.421336,6.341957,1.860479,2.594983,1.268145,0.364396,2.111066,0.815499,2.274658,1.124669,0.345332,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1531225255.039903,1.480161,1.216695,2.520074,1.184495,0.385362,1.954565,0.348790,1.808960,0.862643,0.520426,1.072242,0.672693,0.783042,0.911941,0.259194,0.386824,0.156428,0.576524,0.475401,0.361992,1.070070,0.819265,1.974285,1.567930,1.507240,1.331331,0.731678,0.540313,0.833429,0.421482,3.232871,3.428720,2.167485,3.286525,0.366487,5.465979,16.696628,5.427450,4.553898,0.393704,2.875529,3.664078,3.541733,1.788485,0.337476,2.889682,1.363687,2.636663,1.794276,0.483032,4.121308,1.039898,2.772777,1.420448,0.407806,1.367312,0.996595,2.201416,1.506307,0.358473,7.652556,1.820491,2.708786,1.280722,0.314635,2.102744,0.829153,2.245667,1.141052,0.294636,4,4,4,4,4,4,4,4,4,4,4,4,4,4
